manifest_id,rna_id,channel,density_percent,evidence_seed,eligibility_status_v1_0_2,crossing_flag,minimum_loop_flag,historical_execution_status,historical_record_preserved,entered_metric_universe
simulated_evidence_v1__2K95_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,2K95_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,109,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2K95_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2K95_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2KRL_102_3wj_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,2KRL_102_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,20,109,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2KRL_102_3wj_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,2KRL_102_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2KRL_102_3wj_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,2KRL_102_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2KRL_102_3wj_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,2KRL_102_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2KRL_102_3wj_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2KRL_102_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_10__seed_101__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,10,101,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_10__seed_109__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,10,109,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_10__seed_113__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,10,113,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_101__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,101,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,103,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,107,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,109,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,113,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,109,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2MTJ_47_3wj_nmr_A__positive_pair_evidence__density_10__seed_107__noise_00,2MTJ_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,10,107,R2_INELIGIBLE_MINIMUM_LOOP_EVIDENCE,False,True,CONSTRAINT_SATISFACTION_FAIL,True,False
simulated_evidence_v1__2MTJ_47_3wj_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,2MTJ_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,20,113,R2_INELIGIBLE_MINIMUM_LOOP_EVIDENCE,False,True,CONSTRAINT_SATISFACTION_FAIL,True,False
simulated_evidence_v1__2MTJ_47_3wj_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2MTJ_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,R2_INELIGIBLE_MINIMUM_LOOP_EVIDENCE,False,True,CONSTRAINT_SATISFACTION_FAIL,True,False
simulated_evidence_v1__2N3Q_62_3wj_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,2N3Q_62_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,20,107,R2_INELIGIBLE_MINIMUM_LOOP_EVIDENCE,False,True,CONSTRAINT_SATISFACTION_FAIL,True,False
simulated_evidence_v1__2N3Q_62_3wj_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,2N3Q_62_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,R2_INELIGIBLE_MINIMUM_LOOP_EVIDENCE,False,True,CONSTRAINT_SATISFACTION_FAIL,True,False
simulated_evidence_v1__2N3Q_62_3wj_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2N3Q_62_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,R2_INELIGIBLE_MINIMUM_LOOP_EVIDENCE,False,True,CONSTRAINT_SATISFACTION_FAIL,True,False
simulated_evidence_v1__2TPK_35_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,2TPK_35_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,109,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2TPK_35_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,2TPK_35_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2TPK_35_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,2TPK_35_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2TPK_35_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,2TPK_35_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__2TPK_35_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,2TPK_35_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,109,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
