backbone,fold,seed,global_status,global_threshold,source_status,source_thresholds
BASE_SOURCE_AWARE,1,17,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,1,29,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,1,41,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,1,53,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,1,67,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,2,17,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,2,29,PASS,0.95,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,2,41,PASS,0.95,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,2,53,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,2,67,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,3,17,PASS,0.85,PASS,"{""petfold"": 0.85, ""rnafold"": 0.85, ""trrosettarna2_native_ss"": 0.95}"
BASE_SOURCE_AWARE,3,29,PASS,0.85,PASS,"{""petfold"": 0.95, ""rnafold"": 0.85, ""trrosettarna2_native_ss"": 0.9}"
BASE_SOURCE_AWARE,3,41,PASS,0.9,PASS,"{""petfold"": 0.95, ""rnafold"": 0.9, ""trrosettarna2_native_ss"": 0.95}"
BASE_SOURCE_AWARE,3,53,PASS,0.9,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.85, ""rnafold"": 0.85, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,3,67,PASS,0.9,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.9, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
BASE_SOURCE_AWARE,4,17,PASS,0.95,PASS,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.9}"
BASE_SOURCE_AWARE,4,29,PASS,0.95,PASS,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.9}"
BASE_SOURCE_AWARE,4,41,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": 0.9}"
BASE_SOURCE_AWARE,4,53,PASS,0.95,PASS,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.9}"
BASE_SOURCE_AWARE,4,67,PASS,0.95,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.9}"
CROSS_SOURCE_AGNOSTIC,0,17,PASS,0.95,PASS,"{""petfold"": 0.9, ""rnafold"": 0.9, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AGNOSTIC,0,29,PASS,0.95,PASS,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AGNOSTIC,0,41,PASS,0.95,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AGNOSTIC,0,53,PASS,0.95,PASS,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AGNOSTIC,0,67,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AGNOSTIC,1,17,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,1,29,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,1,41,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,1,53,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,1,67,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,2,17,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,2,29,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,2,41,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,2,53,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,2,67,PASS,0.95,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,3,17,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.9, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,3,29,PASS,0.95,PASS,"{""petfold"": 0.9, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AGNOSTIC,3,41,PASS,0.95,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,3,53,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,3,67,PASS,0.95,PASS,"{""petfold"": 0.9, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AGNOSTIC,4,17,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,4,29,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AGNOSTIC,4,41,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,4,53,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AGNOSTIC,4,67,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,0,17,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.85, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,0,29,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.9, ""rnafold"": 0.9, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,0,41,PASS,0.95,PASS,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AWARE,0,53,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.9, ""rnafold"": 0.9, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,0,67,PASS,0.95,PASS,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AWARE,1,17,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,1,29,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,1,41,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,1,53,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,1,67,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,2,17,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,2,29,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,2,41,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,2,53,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,2,67,PASS,0.95,PASS,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AWARE,3,17,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.9, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,3,29,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,3,41,PASS,0.95,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.9, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,3,53,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": null, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,3,67,PASS,0.95,PASS,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.95}"
CROSS_SOURCE_AWARE,4,17,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,4,29,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,4,41,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,4,53,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
CROSS_SOURCE_AWARE,4,67,ABSTAIN_NO_REFINEMENT,,ABSTAIN_NO_REFINEMENT,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": null}"
